7;0.377;0.377;6794;17400
7;0.26;0.261;2893;7052
7;0.368;0.368;7228;17279
2;0.06;0.06;2;3
4;0.136;0.136;1;4
2;3.405;3.407;483428;483429
11;3.677;3.741;485109;485510
11;0.4;0.4;2;16
14;0.504;0.504;19;33
10;0.345;0.346;1804;2360
3;0.154;0.155;2437;4302
20;1.036;1.038;6226;45076
7;0.236;0.236;34;43
5;0.166;0.166;1;5
5;0.165;0.165;1;5
3;6.399;6.468;720630;1057799
5;0.811;0.837;111433;111764
5;3.932;3.991;365502;699374
3;0.104;0.105;811;1120
3;0.153;0.153;58;61
2;0.075;0.076;1141;1672
1;0.096;0.096;5763;5763
3;3.732;3.79;486708;496754
3;3.711;3.763;506890;520894
20;0.669;0.669;1;20
20;3.894;3.954;483482;483519
20;6.275;6.322;175336;688996
5;0.167;0.167;1125;1129
5;0.158;0.158;6;10
5;0.154;0.154;1;5
11;2.851;2.911;361806;445870
7;3.698;3.756;502351;505132
11;1.04;1.067;111543;112328
16;0.534;0.534;82;852
16;0.56;0.56;145;217
14;0.465;0.465;110;159
75;2.479;2.479;409;547
17;0.685;0.685;2863;11276
47;2.083;2.087;16178;45994
4;0.133;0.133;412;415
4;0.161;0.161;93;96
4;0.124;0.124;1;4
4;0.138;0.138;84;105
3;0.104;0.104;524;539
4;0.182;0.182;4;7
7;0.344;0.345;6868;18334
7;0.274;0.274;2880;7013
7;0.319;0.321;6570;15683
14;1.678;1.687;35806;145001
5;0.176;0.176;641;695
5;0.169;0.169;224;229
7;0.355;0.356;8058;18433
7;0.273;0.274;3055;7794
7;0.31;0.311;5397;15584
7;1.047;1.074;96804;135659
5;3.446;3.496;483432;483450
7;0.998;1.025;121330;123388
9;0.321;0.321;2;10
8;3.551;3.613;483997;484409
9;3.637;3.686;484047;484261
5;0.164;0.164;47;52
2;3.53;3.531;483427;483429
5;0.159;0.159;47;52
5;0.168;0.168;256;330
5;0.176;0.176;11;15
1;0.179;0.178;16046;16046
3;6.421;6.482;720630;1057799
7;0.895;0.917;111686;111998
7;3.621;3.671;378952;633397
4;0.416;0.424;23061;32789
